vid,window_start_frame,window_end_frame,cam,narration_start_frame,narration_end_frame,narration_id,narration,duration
georgiatech_cooking_10_02_2,6758,7658,05,6953,7032,georgiatech_cooking_10_02_2_ks_16,Wash your hands with water.,2.6333333333333333
georgiatech_bike_18_10,439,1339,04,1223,1266,georgiatech_bike_18_10_ks_4,Slowly move the chain by backpedaling with hand,1.4333333333333333
georgiatech_cooking_01_02_2,8825,9725,01,8951,9027,georgiatech_cooking_01_02_2_ks_26,Get soy sauce from the countertop.,2.533333333333333
fair_bike_10_10,4677,5577,03,4999,5049,fair_bike_10_10_ks_6,Get a new inner tube from the work bench,1.6666666666666667
georgiatech_cooking_10_02_2,3574,4474,04,3630,3689,georgiatech_cooking_10_02_2_ks_11,Get olive oil from a counter top.,1.9666666666666666
georgiatech_cooking_09_02_2,25488,26388,05,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
georgiatech_bike_01_6,2389,3289,04,2820,2857,georgiatech_bike_01_6_ks_4,Get a wrench from the table,1.2333333333333334
georgiatech_cooking_11_01_4,35576,36476,01,36103,36181,georgiatech_cooking_11_01_4_ks_85,Place the chopping board on the kitchen table,2.6
georgiatech_cooking_04_01_2,24579,25479,04,24619,24673,georgiatech_cooking_04_01_2_ks_24,Turn on the stove,1.8
georgiatech_cooking_04_01_2,53773,54673,02,54166,54193,georgiatech_cooking_04_01_2_ks_78,Regulate the heat of the stove,0.9
georgiatech_cooking_10_02_2,13179,14079,03,13251,13302,georgiatech_cooking_10_02_2_ks_35,Return the napkin to the cooker.,1.7
georgiatech_cooking_10_02_2,33364,34264,05,34175,34263,georgiatech_cooking_10_02_2_ks_84,Regulate the heat of the cooker.,2.933333333333333
georgiatech_cooking_10_02_4,22455,23355,03,22736,22808,georgiatech_cooking_10_02_4_ks_47,Turn off the stove,2.4
georgiatech_bike_01_6,2460,3360,03,2820,2857,georgiatech_bike_01_6_ks_4,Get a wrench from the table,1.2333333333333334
georgiatech_cooking_01_01_2,7018,7918,02,7425,7511,georgiatech_cooking_01_01_2_ks_25,Check heat of the skillet,2.8666666666666667
fair_bike_07_3,2697,3597,02,3328,3387,fair_bike_07_3_ks_11,Adjust the valve stem in the rim of the wheel,1.9666666666666666
fair_cooking_07_2,1958,2858,03,2325,2383,fair_cooking_07_2_ks_4,get the carrot from the tray,1.9333333333333333
fair_cooking_08_4,2645,3545,03,2886,2932,fair_cooking_08_4_ks_2,Get celeries from a stainless steel bowl,1.5333333333333334
georgiatech_cooking_10_02_4,11113,12013,03,11325,11397,georgiatech_cooking_10_02_4_ks_16,Get spoon from the countertop,2.4
fair_cooking_06_6,7336,8236,02,7827,7867,fair_cooking_06_6_ks_36,Regulate the heat of the pot on the stove,1.3333333333333333
fair_cooking_08_4,7225,8125,01,7684,7711,fair_cooking_08_4_ks_20,Place the uncut bell pepper on the tray,0.9
georgiatech_cooking_10_02_2,1187,2087,05,1356,1428,georgiatech_cooking_10_02_2_ks_5,Check the paper recipe.,2.4
fair_bike_01_16,2436,3336,04,2684,2745,fair_bike_01_16_ks_5,Place the wrench on the table,2.033333333333333
georgiatech_cooking_09_02_2,9551,10451,04,9637,9720,georgiatech_cooking_09_02_2_ks_11,Dispose the egg in a waste bag,2.7666666666666666
georgiatech_cooking_11_01_4,12647,13547,01,13025,13104,georgiatech_cooking_11_01_4_ks_33,Clean both hands with the napkin,2.6333333333333333
georgiatech_cooking_09_02_2,16699,17599,01,17538,17585,georgiatech_cooking_09_02_2_ks_47,Peel garlic cloves,1.5666666666666667
georgiatech_cooking_10_02_4,19851,20751,03,20137,20204,georgiatech_cooking_10_02_4_ks_40,Place the skillet on the stove,2.2333333333333334
georgiatech_bike_19_10,1532,2432,03,1756,1809,georgiatech_bike_19_10_ks_2,Get a cloth from the table,1.7666666666666666
georgiatech_cooking_01_01_2,11224,12124,04,12016,12073,georgiatech_cooking_01_01_2_ks_39,Get garlic cloves from the countertop,1.9
georgiatech_cooking_04_02_2,33691,34591,02,34126,34197,georgiatech_cooking_04_02_2_ks_39,Check heat of the skillet,2.3666666666666667
georgiatech_cooking_11_01_4,12476,13376,04,13025,13104,georgiatech_cooking_11_01_4_ks_33,Clean both hands with the napkin,2.6333333333333333
georgiatech_cooking_10_02_2,28208,29108,01,28305,28379,georgiatech_cooking_10_02_2_ks_64,Place the skillet on the cooker.,2.466666666666667
georgiatech_cooking_10_02_2,12613,13513,03,13251,13302,georgiatech_cooking_10_02_2_ks_35,Return the napkin to the cooker.,1.7
georgiatech_cooking_10_02_2,27858,28758,04,28305,28379,georgiatech_cooking_10_02_2_ks_64,Place the skillet on the cooker.,2.466666666666667
georgiatech_cooking_01_01_2,3450,4350,02,4033,4113,georgiatech_cooking_01_01_2_ks_12,Get scoop from the countertop,2.6666666666666665
fair_bike_09_4,3381,4281,03,4170,4258,fair_bike_09_4_ks_8,Get a new inner tube from the table,2.933333333333333
fair_bike_09_10,4334,5234,01,4575,4619,fair_bike_09_10_ks_6,Get a new inner tube from the work bench,1.4666666666666666
georgiatech_cooking_14_01_2,5122,6022,01,5309,5347,georgiatech_cooking_14_01_2_ks_10,place the used tissue paper on the counter top,1.2666666666666666
georgiatech_cooking_10_02_2,6422,7322,04,6953,7032,georgiatech_cooking_10_02_2_ks_16,Wash your hands with water.,2.6333333333333333
fair_bike_10_10,4593,5493,01,4999,5049,fair_bike_10_10_ks_6,Get a new inner tube from the work bench,1.6666666666666667
fair_bike_09_8,4358,5258,02,4891,4941,fair_bike_09_8_ks_10,Get a new tube from the table.,1.6666666666666667
georgiatech_cooking_01_02_2,25762,26662,04,26516,26576,georgiatech_cooking_01_02_2_ks_57,Adjust the heat of the gas cooker.,2.0
georgiatech_cooking_14_01_6,2887,3787,03,3190,3251,georgiatech_cooking_14_01_6_ks_2,Throw out the tomato waste into the waste bin,2.033333333333333
fair_bike_07_3,1465,2365,02,1788,1849,fair_bike_07_3_ks_4,Get a new inner tube from the tube box,2.033333333333333
georgiatech_cooking_14_01_2,17346,18246,03,17847,17936,georgiatech_cooking_14_01_2_ks_60,check the paper recipe on the counter top,2.966666666666667
georgiatech_cooking_09_02_2,6395,7295,04,6974,7046,georgiatech_cooking_09_02_2_ks_7,Cut off the base of the spring onion,2.4
georgiatech_bike_05_9,699,1599,04,936,1017,georgiatech_bike_05_9_ks_1,Get a tire lever from a table,2.7
georgiatech_cooking_01_01_2,30073,30973,03,30100,30170,georgiatech_cooking_01_01_2_ks_73,Get plate from the countertop,2.3333333333333335
fair_bike_01_16,2626,3526,02,2684,2745,fair_bike_01_16_ks_5,Place the wrench on the table,2.033333333333333
georgiatech_cooking_09_02_2,17352,18252,04,17538,17585,georgiatech_cooking_09_02_2_ks_47,Peel garlic cloves,1.5666666666666667
georgiatech_cooking_09_02_2,26009,26909,01,26262,26325,georgiatech_cooking_09_02_2_ks_72,Calibrate the stove to regulate the heat,2.1
fair_bike_02_12,582,1482,02,685,744,fair_bike_02_12_ks_3,Put the wrench into the pocket of his apron,1.9666666666666666
georgiatech_cooking_10_02_2,8205,9105,03,8773,8835,georgiatech_cooking_10_02_2_ks_18,Return the honey.,2.066666666666667
fair_bike_01_8,724,1624,03,1281,1341,fair_bike_01_8_ks_6,Tighten the left axle nut with left hand.,2.0
fair_bike_02_12,3713,4613,03,4364,4394,fair_bike_02_12_ks_16,Get hexagon socket from the table,1.0
fair_cooking_06_2,5920,6820,01,6201,6269,fair_cooking_06_2_ks_13,Get a plate from the countertop,2.2666666666666666
georgiatech_cooking_10_02_4,13080,13980,05,13138,13203,georgiatech_cooking_10_02_4_ks_23,Check paper recipe,2.1666666666666665
georgiatech_cooking_10_02_2,14489,15389,05,14530,14568,georgiatech_cooking_10_02_2_ks_39,Get salt from the counter top.,1.2666666666666666
fair_bike_07_3,1643,2543,03,1788,1849,fair_bike_07_3_ks_4,Get a new inner tube from the tube box,2.033333333333333
georgiatech_cooking_01_02_2,34971,35871,02,35042,35091,georgiatech_cooking_01_02_2_ks_75,Turn the knob of the gas cooker to regulate the heat.,1.6333333333333333
georgiatech_cooking_04_01_2,47296,48196,04,47594,47638,georgiatech_cooking_04_01_2_ks_73,Regulate the heat of the stove,1.4666666666666666
georgiatech_cooking_01_01_2,9580,10480,02,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_14_01_2,25526,26426,01,25855,25896,georgiatech_cooking_14_01_2_ks_88,regulate the stove knob,1.3666666666666667
cmu_bike02_2,1393,2293,04,1619,1699,cmu_bike02_2_ks_1,Get a deflating needle,2.6666666666666665
georgiatech_cooking_09_02_2,13117,14017,01,13831,13878,georgiatech_cooking_09_02_2_ks_36,Read the paper recipe,1.5666666666666667
fair_cooking_06_2,5945,6845,04,6201,6269,fair_cooking_06_2_ks_13,Get a plate from the countertop,2.2666666666666666
cmu_bike13_2,907,1807,02,1181,1263,cmu_bike13_2_ks_1,Unthread the lock nut from the valve stem with hand,2.7333333333333334
fair_bike_02_7,8549,9449,02,8862,8913,fair_bike_02_7_ks_7,Get an inner tube from the carton on the table,1.7
georgiatech_cooking_04_01_2,18625,19525,02,19019,19061,georgiatech_cooking_04_01_2_ks_14,Check the recipe on the kitchen counter,1.4
fair_cooking_06_6,4595,5495,03,4789,4870,fair_cooking_06_6_ks_19,Heat the skillet on the stove,2.7
fair_bike_10_10,4328,5228,02,4999,5049,fair_bike_10_10_ks_6,Get a new inner tube from the work bench,1.6666666666666667
fair_bike_09_8,4311,5211,04,4891,4941,fair_bike_09_8_ks_10,Get a new tube from the table.,1.6666666666666667
georgiatech_cooking_01_01_2,9687,10587,01,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_10_02_2,23611,24511,04,23853,23903,georgiatech_cooking_10_02_2_ks_54,Wash hands with water.,1.6666666666666667
georgiatech_cooking_10_02_2,29333,30233,05,29877,29946,georgiatech_cooking_10_02_2_ks_71,Turn off the cooker.,2.3
georgiatech_cooking_01_01_2,346,1246,03,656,683,georgiatech_cooking_01_01_2_ks_3,Get knife from the countertop,0.9
georgiatech_bike_09_4,1360,2260,05,1734,1804,georgiatech_bike_09_4_ks_4,Pull back and lift the bead out of the rim,2.3333333333333335
georgiatech_cooking_14_01_2,19328,20228,05,19395,19466,georgiatech_cooking_14_01_2_ks_68,check the paper recipe on the counter top,2.3666666666666667
georgiatech_cooking_10_02_2,23038,23938,04,23853,23903,georgiatech_cooking_10_02_2_ks_54,Wash hands with water.,1.6666666666666667
georgiatech_cooking_01_01_2,148,1048,01,656,683,georgiatech_cooking_01_01_2_ks_3,Get knife from the countertop,0.9
georgiatech_cooking_11_01_4,33221,34121,04,33410,33483,georgiatech_cooking_11_01_4_ks_81,Place the sliced onions on the kitchen table,2.433333333333333
georgiatech_bike_09_8,2623,3523,05,2707,2748,georgiatech_bike_09_8_ks_2,Get a mallet from a tool rack.,1.3666666666666667
georgiatech_cooking_10_02_2,10081,10981,04,10682,10752,georgiatech_cooking_10_02_2_ks_24,Lift the lid of the pot,2.3333333333333335
georgiatech_cooking_01_01_2,7048,7948,04,7425,7511,georgiatech_cooking_01_01_2_ks_25,Check heat of the skillet,2.8666666666666667
fair_cooking_06_2,8394,9294,01,9061,9095,fair_cooking_06_2_ks_20,Get a bowl from the countertop,1.1333333333333333
georgiatech_cooking_11_01_4,28898,29798,03,29253,29338,georgiatech_cooking_11_01_4_ks_72,Place the chopping board on the kitchen table,2.8333333333333335
georgiatech_bike_09_8,2028,2928,04,2707,2748,georgiatech_bike_09_8_ks_2,Get a mallet from a tool rack.,1.3666666666666667
fair_bike_09_10,4425,5325,01,4575,4619,fair_bike_09_10_ks_6,Get a new inner tube from the work bench,1.4666666666666666
georgiatech_cooking_01_02_2,15004,15904,02,15057,15107,georgiatech_cooking_01_02_2_ks_33,Read the recipe manual.,1.6666666666666667
georgiatech_cooking_11_01_4,35316,36216,03,36103,36181,georgiatech_cooking_11_01_4_ks_85,Place the chopping board on the kitchen table,2.6
fair_bike_09_8,55,955,04,181,203,fair_bike_09_8_ks_0,Get a tire lever from a table.,0.7333333333333333
georgiatech_cooking_14_01_2,25084,25984,04,25855,25896,georgiatech_cooking_14_01_2_ks_88,regulate the stove knob,1.3666666666666667
georgiatech_cooking_04_01_2,25559,26459,03,26403,26446,georgiatech_cooking_04_01_2_ks_29,Regulate the heat of the stove,1.4333333333333333
georgiatech_cooking_04_02_2,33453,34353,02,34126,34197,georgiatech_cooking_04_02_2_ks_39,Check heat of the skillet,2.3666666666666667
georgiatech_cooking_14_01_2,15786,16686,05,16529,16565,georgiatech_cooking_14_01_2_ks_55,turn off the stove knob,1.2
fair_bike_02_10,559,1459,03,715,776,fair_bike_02_10_ks_1,Get the appropriate wrench from the work table.,2.033333333333333
georgiatech_cooking_10_02_4,11477,12377,03,11814,11889,georgiatech_cooking_10_02_4_ks_18,Get bowl from the countertop,2.5
georgiatech_cooking_04_01_2,36109,37009,03,36440,36472,georgiatech_cooking_04_01_2_ks_48,Regulate the heat of the stove,1.0666666666666667
georgiatech_cooking_10_02_2,4283,5183,05,4774,4822,georgiatech_cooking_10_02_2_ks_13,Get oyster sauce from a counter top.,1.6
georgiatech_cooking_01_01_2,9788,10688,04,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_01_02_2,25716,26616,04,26516,26576,georgiatech_cooking_01_02_2_ks_57,Adjust the heat of the gas cooker.,2.0
georgiatech_cooking_11_01_4,23501,24401,01,24264,24334,georgiatech_cooking_11_01_4_ks_62,Place the chopping board on the kitchen table,2.3333333333333335
fair_cooking_06_6,7253,8153,04,7827,7867,fair_cooking_06_6_ks_36,Regulate the heat of the pot on the stove,1.3333333333333333
fair_bike_06_12,1579,2479,04,2251,2337,fair_bike_06_12_ks_4,Rotate the pedal of the bike,2.8666666666666667
fair_bike_01_3,7160,8060,01,7708,7746,fair_bike_01_3_ks_12,Get a tire lever,1.2666666666666666
georgiatech_cooking_10_02_4,2341,3241,01,2595,2655,georgiatech_cooking_10_02_4_ks_6,Get garlic cloves from the countertop,2.0
georgiatech_bike_01_10,2078,2978,02,2328,2384,georgiatech_bike_01_10_ks_2,Get a tire lever on the ground,1.8666666666666667
georgiatech_cooking_10_02_2,4182,5082,01,4774,4822,georgiatech_cooking_10_02_2_ks_13,Get oyster sauce from a counter top.,1.6
georgiatech_cooking_01_02_2,25692,26592,01,26516,26576,georgiatech_cooking_01_02_2_ks_57,Adjust the heat of the gas cooker.,2.0
fair_cooking_08_6,4437,5337,02,4772,4831,fair_cooking_08_6_ks_14,Add sesame seeds to the mixing bowl,1.9666666666666666
georgiatech_cooking_01_01_2,9378,10278,02,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
fair_bike_10_10,4479,5379,02,4999,5049,fair_bike_10_10_ks_6,Get a new inner tube from the work bench,1.6666666666666667
georgiatech_cooking_01_01_2,13866,14766,03,14281,14334,georgiatech_cooking_01_01_2_ks_47,Turn the stove knob to regulate the heat,1.7666666666666666
georgiatech_cooking_14_01_2,4693,5593,04,5309,5347,georgiatech_cooking_14_01_2_ks_10,place the used tissue paper on the counter top,1.2666666666666666
georgiatech_cooking_10_02_2,27929,28829,01,28305,28379,georgiatech_cooking_10_02_2_ks_64,Place the skillet on the cooker.,2.466666666666667
fair_cooking_07_2,28708,29608,01,29012,29041,fair_cooking_07_2_ks_20,get the peanuts bowl from the countertop,0.9666666666666667
georgiatech_cooking_01_02_2,34504,35404,04,35042,35091,georgiatech_cooking_01_02_2_ks_75,Turn the knob of the gas cooker to regulate the heat.,1.6333333333333333
georgiatech_cooking_11_01_4,14652,15552,01,15243,15294,georgiatech_cooking_11_01_4_ks_41,Check the recipe instruction,1.7
georgiatech_cooking_04_02_2,1297,2197,03,1744,1830,georgiatech_cooking_04_02_2_ks_3,Turn on the stove,2.8666666666666667
georgiatech_cooking_01_02_2,38268,39168,02,38421,38460,georgiatech_cooking_01_02_2_ks_88,Turn the stove knob to regulate the heat.,1.3
fair_bike_09_6,4426,5326,01,4889,4952,fair_bike_09_6_ks_7,Get a new tube from the workshop table,2.1
georgiatech_cooking_10_02_4,26986,27886,04,27324,27364,georgiatech_cooking_10_02_4_ks_60,Get spatula from the countertop,1.3333333333333333
cmu_bike15_3,574,1474,04,938,987,cmu_bike15_3_ks_10,Insert the tire lever between the tire and wheel rim,1.6333333333333333
fair_cooking_06_2,8810,9710,04,9061,9095,fair_cooking_06_2_ks_20,Get a bowl from the countertop,1.1333333333333333
fair_cooking_07_2,2193,3093,02,2325,2383,fair_cooking_07_2_ks_4,get the carrot from the tray,1.9333333333333333
georgiatech_cooking_01_02_2,17129,18029,03,17937,18019,georgiatech_cooking_01_02_2_ks_43,Get tomato sauce from the table.,2.7333333333333334
georgiatech_cooking_10_02_4,10385,11285,01,10574,10645,georgiatech_cooking_10_02_4_ks_13,Wash hands in the sink with the water from the faucet,2.3666666666666667
georgiatech_cooking_09_02_2,25512,26412,05,25567,25620,georgiatech_cooking_09_02_2_ks_68,Get chopped garlic from the chopping board,1.7666666666666666
georgiatech_cooking_04_01_2,26337,27237,04,26403,26446,georgiatech_cooking_04_01_2_ks_29,Regulate the heat of the stove,1.4333333333333333
georgiatech_cooking_11_01_4,14752,15652,05,15243,15294,georgiatech_cooking_11_01_4_ks_41,Check the recipe instruction,1.7
georgiatech_cooking_14_01_2,4735,5635,01,5309,5347,georgiatech_cooking_14_01_2_ks_10,place the used tissue paper on the counter top,1.2666666666666666
georgiatech_cooking_10_02_4,16879,17779,04,17002,17062,georgiatech_cooking_10_02_4_ks_33,Check paper recipe,2.0
fair_bike_09_6,4230,5130,02,4889,4952,fair_bike_09_6_ks_7,Get a new tube from the workshop table,2.1
georgiatech_cooking_09_02_2,13038,13938,04,13831,13878,georgiatech_cooking_09_02_2_ks_36,Read the paper recipe,1.5666666666666667
georgiatech_bike_01_6,3450,4350,02,4090,4125,georgiatech_bike_01_6_ks_6,Put the wrench on the table,1.1666666666666667
georgiatech_cooking_11_01_4,25720,26620,01,26116,26190,georgiatech_cooking_11_01_4_ks_69,Check the recipe instruction,2.466666666666667
georgiatech_cooking_10_02_2,20033,20933,01,20555,20641,georgiatech_cooking_10_02_2_ks_51,Get garlic clove from the counter top.,2.8666666666666667
georgiatech_cooking_10_02_2,9238,10138,05,9773,9844,georgiatech_cooking_10_02_2_ks_21,Return the ketchup.,2.3666666666666667
fair_bike_06_12,1525,2425,01,2251,2337,fair_bike_06_12_ks_4,Rotate the pedal of the bike,2.8666666666666667
fair_bike_07_19,3306,4206,04,3884,3961,fair_bike_07_19_ks_10,insert the valve stem into the rim,2.566666666666667
georgiatech_bike_18_10,368,1268,01,1223,1266,georgiatech_bike_18_10_ks_4,Slowly move the chain by backpedaling with hand,1.4333333333333333
fair_bike_09_10,4262,5162,02,4575,4619,fair_bike_09_10_ks_6,Get a new inner tube from the work bench,1.4666666666666666
fair_cooking_06_2,3723,4623,04,4056,4081,fair_cooking_06_2_ks_7,Get a garlic from the chopping board,0.8333333333333334
georgiatech_cooking_10_02_4,16917,17817,05,17002,17062,georgiatech_cooking_10_02_4_ks_33,Check paper recipe,2.0
fair_bike_09_10,4013,4913,03,4575,4619,fair_bike_09_10_ks_6,Get a new inner tube from the work bench,1.4666666666666666
georgiatech_cooking_09_02_2,26992,27892,04,27151,27231,georgiatech_cooking_09_02_2_ks_75,Wipe hands with a paper towel,2.6666666666666665
georgiatech_cooking_01_01_2,5070,5970,03,5751,5836,georgiatech_cooking_01_01_2_ks_19,Get scoop from the countertop,2.8333333333333335
fair_cooking_08_4,2328,3228,02,2642,2694,fair_cooking_08_4_ks_0,Pick a bell pepper from a stainless steel bowl,1.7333333333333334
georgiatech_cooking_01_02_2,2392,3292,03,2699,2762,georgiatech_cooking_01_02_2_ks_11,Put away the salt,2.1
georgiatech_bike_08_4,1297,2197,03,1979,2041,georgiatech_bike_08_4_ks_3,Get a new inner tube from the table,2.066666666666667
fair_cooking_08_4,6538,7438,03,6680,6707,fair_cooking_08_4_ks_16,Pick bell pepper from the tray on the countertop,0.9
fair_cooking_06_2,3895,4795,04,4056,4081,fair_cooking_06_2_ks_7,Get a garlic from the chopping board,0.8333333333333334
georgiatech_cooking_04_01_2,55331,56231,04,55401,55490,georgiatech_cooking_04_01_2_ks_81,Stir fry the tomato and eggs in the skillet,2.966666666666667
fair_cooking_08_4,2297,3197,04,2642,2694,fair_cooking_08_4_ks_0,Pick a bell pepper from a stainless steel bowl,1.7333333333333334
georgiatech_cooking_09_02_2,14399,15299,04,14816,14854,georgiatech_cooking_09_02_2_ks_41,Get a oil bottle from the kitchen island,1.2666666666666666
georgiatech_cooking_04_01_2,55075,55975,03,55401,55490,georgiatech_cooking_04_01_2_ks_81,Stir fry the tomato and eggs in the skillet,2.966666666666667
georgiatech_cooking_01_02_2,36480,37380,02,36903,36945,georgiatech_cooking_01_02_2_ks_82,Get the mix ingredients in the mixing bowl.,1.4
georgiatech_cooking_11_01_4,38113,39013,05,38343,38402,georgiatech_cooking_11_01_4_ks_95,Get measuring spoon from the kitchen table,1.9666666666666666
georgiatech_cooking_01_02_2,8574,9474,02,8951,9027,georgiatech_cooking_01_02_2_ks_26,Get soy sauce from the countertop.,2.533333333333333
fair_bike_10_10,4237,5137,04,4999,5049,fair_bike_10_10_ks_6,Get a new inner tube from the work bench,1.6666666666666667
georgiatech_cooking_10_02_4,21976,22876,04,22736,22808,georgiatech_cooking_10_02_4_ks_47,Turn off the stove,2.4
fair_bike_02_12,1945,2845,02,2186,2220,fair_bike_02_12_ks_7,Tighten the axle nut with his hand,1.1333333333333333
fair_bike_09_4,129,1029,02,396,425,fair_bike_09_4_ks_1,Get a tire lever from the table,0.9666666666666667
georgiatech_cooking_10_02_2,23225,24125,01,23853,23903,georgiatech_cooking_10_02_2_ks_54,Wash hands with water.,1.6666666666666667
georgiatech_cooking_01_01_2,9282,10182,03,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
georgiatech_cooking_01_02_2,29862,30762,01,30556,30622,georgiatech_cooking_01_02_2_ks_64,Turn off the gas cooker.,2.2
fair_bike_09_6,4865,5765,04,4889,4952,fair_bike_09_6_ks_7,Get a new tube from the workshop table,2.1
fair_cooking_08_10,4355,5255,04,4502,4522,fair_cooking_08_10_ks_11,Dry hand with the kitchen napkin,0.6666666666666666
georgiatech_cooking_04_01_2,24129,25029,01,24311,24371,georgiatech_cooking_04_01_2_ks_22,Get a bottle of oil from the kitchen counter,2.0
georgiatech_cooking_01_01_2,9352,10252,02,9986,10059,georgiatech_cooking_01_01_2_ks_32,Get bowl from the countertop,2.433333333333333
cmu_bike02_3,82,982,02,141,190,cmu_bike02_3_ks_0,Get a tire lever from the tool rack,1.6333333333333333
georgiatech_cooking_04_01_2,19650,20550,01,19912,19979,georgiatech_cooking_04_01_2_ks_18,Check the recipe on the kitchen counter,2.2333333333333334
georgiatech_cooking_11_01_4,35630,36530,04,36103,36181,georgiatech_cooking_11_01_4_ks_85,Place the chopping board on the kitchen table,2.6
georgiatech_cooking_10_02_2,13085,13985,04,13251,13302,georgiatech_cooking_10_02_2_ks_35,Return the napkin to the cooker.,1.7
georgiatech_cooking_10_02_2,8594,9494,03,8773,8835,georgiatech_cooking_10_02_2_ks_18,Return the honey.,2.066666666666667
georgiatech_cooking_01_01_2,29601,30501,03,30100,30170,georgiatech_cooking_01_01_2_ks_73,Get plate from the countertop,2.3333333333333335
cmu_bike18_3,1117,2017,03,1119,1152,cmu_bike18_3_ks_2,Insert the tire lever between the outer tire and wheel rim,1.1
georgiatech_cooking_14_01_2,5292,6192,05,5309,5347,georgiatech_cooking_14_01_2_ks_10,place the used tissue paper on the counter top,1.2666666666666666
